notation,prefLabel,cocoda
"BC 6220","Bibel in der Kunst, Kulturgeschichte und Dichtung",https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FBC%25206220
"QP 360","Planung und Kontrolle, Allgemeines",https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FQP%2520360
"BC 4800","Neues Testament Gesamt",https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FBC%25204800
"DX 4500",Primärliteratur,https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FDX%25204500
"QB 400","Wirtschaftswissenschaftliche Forschung. Arbeitsgebiete einzelner Hochschulen, Institute, Behörden und dgl. Wirtschaftswissenschaftliche Gesellschaften Wirtschaftsinformationsdienst",https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FQB%2520400
"QR 800",Allgemeines,https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FQR%2520800
"QT 200","Erhaltungsmaßnahmen",https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FQT%2520200
"DX 4300",Primärliteratur,https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FDX%25204300
"ZO 7000",Allgemeines,https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FZO%25207000
"LT 61000","Edition Eulenburg",https://coli-conc.gbv.de/cocoda/app/?fromScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Frvk%2F&toScheme=http%3A%2F%2Furi.gbv.de%2Fterminology%2Fbk%2F&from=http%3A%2F%2Frvk.uni-regensburg.de%2Fnt%2FLT%252061000
